	price	index_id	date
0	11998.76	TAIEX	2011/1/3
1	11961.39	TAIEX	2011/1/4
2	11760.8	TAIEX	2011/1/5
3	11809.86	TAIEX	2011/1/6
4	11676.27	TAIEX	2011/1/7
5	11723	TAIEX	2011/1/10
6	11873.88	TAIEX	2011/1/11
7	11918.59	TAIEX	2011/1/12
8	11932.66	TAIEX	2011/1/13
9	11928.57	TAIEX	2011/1/14
10	11865.54	TAIEX	2011/1/17
11	11949.17	TAIEX	2011/1/18
12	12079.49	TAIEX	2011/1/19
13	11994.6	TAIEX	2011/1/20
14	11904.48	TAIEX	2011/1/21
15	11895.72	TAIEX	2011/1/24
16	11953.67	TAIEX	2011/1/25
17	12039.03	TAIEX	2011/1/26
18	12101.17	TAIEX	2011/1/27
19	12158.36	TAIEX	2011/1/28
20	12113.31	TAIEX	2011/2/8
21	11974.19	TAIEX	2011/2/9
22	11747.84	TAIEX	2011/2/10
23	11446.44	TAIEX	2011/2/11
24	11546.97	TAIEX	2011/2/14
25	11595.44	TAIEX	2011/2/15
26	11583.51	TAIEX	2011/2/16
27	11544.86	TAIEX	2011/2/17
28	11757.51	TAIEX	2011/2/18
29	11751.37	TAIEX	2011/2/21
30	11531.28	TAIEX	2011/2/22
31	11338.87	TAIEX	2011/2/23
32	11355.76	TAIEX	2011/2/24
33	11432.87	TAIEX	2011/2/25
34	11602.92	TAIEX	2011/3/1
35	11459.79	TAIEX	2011/3/2
36	11617.29	TAIEX	2011/3/3
37	11678.49	TAIEX	2011/3/4
38	11584.61	TAIEX	2011/3/7
39	11629.77	TAIEX	2011/3/8
40	11632.78	TAIEX	2011/3/9
41	11490.37	TAIEX	2011/3/10
42	11390.55	TAIEX	2011/3/11
43	11327.01	TAIEX	2011/3/14
44	10947.79	TAIEX	2011/3/15
45	11067.18	TAIEX	2011/3/16
46	11011.49	TAIEX	2011/3/17
47	11160.47	TAIEX	2011/3/18
48	11257.46	TAIEX	2011/3/21
49	11311.09	TAIEX	2011/3/22
50	11360.33	TAIEX	2011/3/23
51	11401.96	TAIEX	2011/3/24
52	11447.16	TAIEX	2011/3/25
53	11370.94	TAIEX	2011/3/28
54	11428.78	TAIEX	2011/3/29
55	11494.91	TAIEX	2011/3/30
56	11544.08	TAIEX	2011/3/31
57	11573.11	TAIEX	2011/4/1
58	11768.34	TAIEX	2011/4/6
59	11834.47	TAIEX	2011/4/7
60	11824.92	TAIEX	2011/4/8
61	11805.94	TAIEX	2011/4/11
62	11609.61	TAIEX	2011/4/12
63	11672.9	TAIEX	2011/4/13
64	11702.86	TAIEX	2011/4/14
65	11590.38	TAIEX	2011/4/15
66	11585.53	TAIEX	2011/4/18
67	11484.59	TAIEX	2011/4/19
68	11716.88	TAIEX	2011/4/20
69	11908.82	TAIEX	2011/4/21
70	11924.48	TAIEX	2011/4/22
71	11899.65	TAIEX	2011/4/25
72	11896.18	TAIEX	2011/4/26
73	12030.6	TAIEX	2011/4/27
74	12019.33	TAIEX	2011/4/28
75	11975.59	TAIEX	2011/4/29
76	11893.73	TAIEX	2011/5/3
77	11895.41	TAIEX	2011/5/4
78	11990.15	TAIEX	2011/5/5
79	11935.14	TAIEX	2011/5/6
80	12012.59	TAIEX	2011/5/9
81	11996.87	TAIEX	2011/5/10
82	11993.05	TAIEX	2011/5/11
83	12010.7	TAIEX	2011/5/12
84	11974.71	TAIEX	2011/5/13
85	11848.53	TAIEX	2011/5/16
86	11811.82	TAIEX	2011/5/17
87	11892.58	TAIEX	2011/5/18
88	11824.22	TAIEX	2011/5/19
89	11749.96	TAIEX	2011/5/20
90	11630.94	TAIEX	2011/5/23
91	11643.03	TAIEX	2011/5/24
92	11603.89	TAIEX	2011/5/25
93	11685.4	TAIEX	2011/5/26
94	11714.12	TAIEX	2011/5/27
95	11732.31	TAIEX	2011/5/30
96	11951.92	TAIEX	2011/5/31
97	12049.66	TAIEX	2011/6/1
98	11955.27	TAIEX	2011/6/2
99	12028.58	TAIEX	2011/6/3
100	12043.09	TAIEX	2011/6/7
101	11977.18	TAIEX	2011/6/8
102	11968.42	TAIEX	2011/6/9
103	11751.72	TAIEX	2011/6/10
104	11585.68	TAIEX	2011/6/13
105	11740.34	TAIEX	2011/6/14
106	11743.52	TAIEX	2011/6/15
107	11508.13	TAIEX	2011/6/16
108	11483.76	TAIEX	2011/6/17
109	11343.58	TAIEX	2011/6/20
110	11433.4	TAIEX	2011/6/21
111	11464.55	TAIEX	2011/6/22
112	11393.46	TAIEX	2011/6/23
113	11347.93	TAIEX	2011/6/24
114	11305.47	TAIEX	2011/6/27
115	11283.35	TAIEX	2011/6/28
116	11450.46	TAIEX	2011/6/29
117	11564.95	TAIEX	2011/6/30
118	11683.47	TAIEX	2011/7/1
119	11731.97	TAIEX	2011/7/4
120	11747.71	TAIEX	2011/7/5
121	11826.05	TAIEX	2011/7/6
122	11783.98	TAIEX	2011/7/7
123	11766.38	TAIEX	2011/7/8
124	11679.79	TAIEX	2011/7/11
125	11448.79	TAIEX	2011/7/12
126	11471.46	TAIEX	2011/7/13
127	11474.61	TAIEX	2011/7/14
128	11605.92	TAIEX	2011/7/15
129	11577.77	TAIEX	2011/7/18
130	11572.02	TAIEX	2011/7/19
131	11834.74	TAIEX	2011/7/20
132	11879.28	TAIEX	2011/7/21
133	11953.92	TAIEX	2011/7/22
134	11844.59	TAIEX	2011/7/25
135	12013.23	TAIEX	2011/7/26
136	12047.51	TAIEX	2011/7/27
137	11988.72	TAIEX	2011/7/28
138	11834.17	TAIEX	2011/7/29
139	11921.36	TAIEX	2011/8/1
140	11767.72	TAIEX	2011/8/2
141	11593.85	TAIEX	2011/8/3
142	11417.88	TAIEX	2011/8/4
143	10782.61	TAIEX	2011/8/5
144	10375.53	TAIEX	2011/8/8
145	10301.62	TAIEX	2011/8/9
146	10642.85	TAIEX	2011/8/10
147	10624.11	TAIEX	2011/8/11
148	10514.95	TAIEX	2011/8/12
149	10767.1	TAIEX	2011/8/15
150	10740.17	TAIEX	2011/8/16
151	10668.37	TAIEX	2011/8/17
152	10495.74	TAIEX	2011/8/18
153	10121.42	TAIEX	2011/8/19
154	10080.22	TAIEX	2011/8/22
155	10415.2	TAIEX	2011/8/23
156	10357.02	TAIEX	2011/8/24
157	10236.98	TAIEX	2011/8/25
158	10284.41	TAIEX	2011/8/26
159	10468.1	TAIEX	2011/8/29
160	10562.33	TAIEX	2011/8/30
161	10694.67	TAIEX	2011/8/31
162	10719.39	TAIEX	2011/9/1
163	10718.52	TAIEX	2011/9/2
164	10434.69	TAIEX	2011/9/5
165	10180.16	TAIEX	2011/9/6
166	10404.13	TAIEX	2011/9/7
167	10431	TAIEX	2011/9/8
168	10518.89	TAIEX	2011/9/9
169	10216.62	TAIEX	2011/9/13
170	9991.89	TAIEX	2011/9/14
171	10210.99	TAIEX	2011/9/15
172	10476.29	TAIEX	2011/9/16
173	10343.44	TAIEX	2011/9/19
174	10360.48	TAIEX	2011/9/20
175	10420.43	TAIEX	2011/9/21
176	10103.8	TAIEX	2011/9/22
177	9745.2	TAIEX	2011/9/23
178	9511.64	TAIEX	2011/9/26
179	9806.29	TAIEX	2011/9/27
180	9885.4	TAIEX	2011/9/28
181	9934.74	TAIEX	2011/9/29
182	9993.91	TAIEX	2011/9/30
183	9701.96	TAIEX	2011/10/3
184	9748.86	TAIEX	2011/10/4
185	9667.69	TAIEX	2011/10/5
186	9865.28	TAIEX	2011/10/6
187	9975.99	TAIEX	2011/10/7
188	10234.32	TAIEX	2011/10/11
189	10211.71	TAIEX	2011/10/12
190	10275.31	TAIEX	2011/10/13
191	10178.14	TAIEX	2011/10/14
192	10320.69	TAIEX	2011/10/17
193	10180.09	TAIEX	2011/10/18
194	10172.13	TAIEX	2011/10/19
195	10021.28	TAIEX	2011/10/20
196	10035.38	TAIEX	2011/10/21
197	10333.88	TAIEX	2011/10/24
198	10363.31	TAIEX	2011/10/25
199	10425.01	TAIEX	2011/10/26
200	10465.68	TAIEX	2011/10/27
201	10536.03	TAIEX	2011/10/28
202	10497.17	TAIEX	2011/10/31
203	10544.64	TAIEX	2011/11/1
204	10512.05	TAIEX	2011/11/2
205	10320.95	TAIEX	2011/11/3
